bits: 4096
nu,z,terms
0,1436,1351
0.03125,1436,1351
0.06250,1436,1351
0.09375,1436,1350
0.12500,1436,1350
0.15625,1436,1350
0.18750,1436,1349
0.21875,1436,1349
0.25000,1436,1348
0.28125,1436,1353
0.31250,1436,1352
0.34375,1436,1350
0.37500,1436,1349
0.40625,1436,1352
0.43750,1436,1349
0.46875,1436,1349
0.50000,4,1
0.53125,1436,1349
0.56250,1436,1349
0.59375,1436,1346
0.62500,1436,1349
0.65625,1436,1345
0.68750,1436,1346
0.71875,1436,1347
0.75000,1436,1348
0.78125,1436,1343
0.81250,1436,1344
0.84375,1436,1344
0.87500,1436,1345
0.90625,1436,1345
0.93750,1436,1345
0.96875,1436,1345
1.00000,1436,1340
1.03125,1436,1340
1.06250,1436,1340
1.09375,1436,1340
1.12500,1436,1340
1.15625,1436,1339
1.18750,1436,1339
1.21875,1436,1338
1.25000,1436,1338
1.28125,1436,1337
1.31250,1436,1331
1.34375,1432,1427
1.37500,1432,1414
1.40625,1432,1405
1.43750,1432,1396
1.46875,1432,1385
1.50000,4,1
1.53125,1432,1385
1.56250,1432,1396
1.59375,1432,1405
1.62500,1432,1414
1.65625,1432,1427
1.68750,1436,1331
1.71875,1436,1332
1.75000,1432,1411
1.78125,1432,1415
1.81250,1432,1418
1.84375,1432,1421
1.87500,1432,1425
1.90625,1432,1429
1.93750,1436,1331
1.96875,1436,1331
2.00000,1436,1331
2.03125,1436,1331
2.06250,1436,1331
2.09375,1432,1429
2.12500,1432,1425
2.15625,1432,1421
2.18750,1432,1418
2.21875,1432,1415
2.25000,1432,1411
2.28125,1432,1408
2.31250,1432,1404
2.34375,1432,1400
2.37500,1432,1396
2.40625,1432,1391
2.43750,1432,1375
2.46875,1432,1367
2.50000,4,2
2.53125,1432,1367
2.56250,1432,1375
2.59375,1432,1381
2.62500,1432,1384
2.65625,1432,1388
2.68750,1432,1390
2.71875,1432,1393
2.75000,1432,1395
2.78125,1432,1396
2.81250,1432,1398
2.84375,1432,1399
2.87500,1432,1400
2.90625,1432,1401
2.93750,1432,1401
2.96875,1432,1402
3.00000,1432,1402
3.03125,1432,1402
3.06250,1432,1401
3.09375,1432,1401
3.12500,1432,1400
3.15625,1432,1399
3.18750,1432,1398
3.21875,1432,1396
3.25000,1432,1395
3.28125,1432,1393
3.31250,1432,1390
3.34375,1432,1388
3.37500,1432,1384
3.40625,1432,1372
3.43750,1432,1367
3.46875,1432,1360
3.50000,4,2
3.53125,1432,1360
3.56250,1432,1367
3.59375,1432,1372
3.62500,1432,1375
3.65625,1432,1378
3.68750,1432,1380
3.71875,1432,1382
3.75000,1432,1383
3.78125,1432,1385
3.81250,1432,1386
3.84375,1432,1387
3.87500,1432,1387
3.90625,1432,1388
3.93750,1432,1388
3.96875,1432,1389
4.00000,1432,1389
